"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-0.161007644549277,7.91557293249988
2001-01-02 12:00:00,2001,1,2,NA,0.504489031957101,8.61215866777106
2001-01-03 12:00:00,2001,1,3,NA,-1.21531698661703,5.88294602613873
2001-01-04 12:00:00,2001,1,4,NA,1.72511705427654,9.08979951085212
2001-01-05 12:00:00,2001,1,5,NA,5.0436867895745,10.9896720699009
2001-01-06 12:00:00,2001,1,6,NA,3.68227785686862,9.785550873437
2001-01-07 12:00:00,2001,1,7,NA,6.17435149742929,10.2449037690826
2001-01-08 12:00:00,2001,1,8,NA,4.58045206685219,10.6837250834206
2001-01-09 12:00:00,2001,1,9,NA,2.86525618553566,7.9245693073271
2001-01-10 12:00:00,2001,1,10,NA,5.97461722654932,9.01272855666981
2001-01-11 12:00:00,2001,1,11,NA,5.40455823241125,8.44266956253174
2001-01-12 12:00:00,2001,1,12,NA,6.48098080079799,12.9568198152748
2001-01-13 12:00:00,2001,1,13,NA,7.67789208856369,15.8479448078949
2001-01-14 12:00:00,2001,1,14,NA,4.34081314400416,6.09843965345518
2001-01-15 12:00:00,2001,1,15,NA,5.87132367220153,6.02813262753193
2001-01-16 12:00:00,2001,1,16,NA,3.59949431249534,5.63530047499212
2001-01-17 12:00:00,2001,1,17,NA,2.7684290578092,5.81565489064323
2001-01-18 12:00:00,2001,1,18,NA,-2.27292939512227,-1.20233390367139
2001-01-19 12:00:00,2001,1,19,NA,-2.31188568812373,1.78510015516639
2001-01-20 12:00:00,2001,1,20,NA,-8.7865669674661,-2.85566810723372
2001-01-21 12:00:00,2001,1,21,NA,-13.9848969208195,-4.83905788472329
2001-01-22 12:00:00,2001,1,22,NA,-12.1455383896567,-2.23965444306106
2001-01-23 12:00:00,2001,1,23,NA,-7.36449260325264,-0.0486436648942528
2001-01-24 12:00:00,2001,1,24,NA,-5.34086079663369,0.605124483692727
2001-01-25 12:00:00,2001,1,25,NA,-7.48202852167558,-1.00618950719882
2001-01-26 12:00:00,2001,1,26,NA,-3.68055635470791,3.79516531451827
2001-01-27 12:00:00,2001,1,27,NA,-4.27768147914328,3.94891233578431
2001-01-28 12:00:00,2001,1,28,NA,-0.663537632081807,5.0441166240402
2001-01-29 12:00:00,2001,1,29,NA,2.66990938722914,5.70802071734963
2001-01-30 12:00:00,2001,1,30,NA,1.67918206516499,8.96304742119976
2001-01-31 12:00:00,2001,1,31,NA,1.08447611833098,11.4553650140819
2001-02-01 12:00:00,2001,2,1,NA,4.79706320709837,13.9910439613407
2001-02-02 12:00:00,2001,2,2,NA,8.37068330407744,17.7563659235901
2001-02-03 12:00:00,2001,2,3,NA,6.34278265337236,14.9803371632997
2001-02-04 12:00:00,2001,2,4,NA,8.35447208918092,10.3597457753554
2001-02-05 12:00:00,2001,2,5,NA,5.53051913391277,7.47316992478307
2001-02-06 12:00:00,2001,2,6,NA,4.73799043037519,8.2351906802855
2001-02-07 12:00:00,2001,2,7,NA,0.513455727513004,5.6928060815553
2001-02-08 12:00:00,2001,2,8,NA,-0.080183708371993,6.19520356348744
2001-02-09 12:00:00,2001,2,9,NA,4.42563605586551,12.7582793837955
2001-02-10 12:00:00,2001,2,10,NA,3.82164351577464,12.0324249139216
2001-02-11 12:00:00,2001,2,11,NA,0.733450576079806,3.69923416194523
2001-02-12 12:00:00,2001,2,12,NA,-3.67908672748299,0.456287664084429
2001-02-13 12:00:00,2001,2,13,NA,-2.47778091819585,-0.379373575959145
2001-02-14 12:00:00,2001,2,14,NA,-1.07575204087044,0.920038317429729
2001-02-15 12:00:00,2001,2,15,NA,-2.73620246857767,-0.793551677707377
2001-02-16 12:00:00,2001,2,16,NA,0.222681085822861,2.47836848083864
2001-02-17 12:00:00,2001,2,17,NA,-5.20094806008721,-2.31372550785908
2001-02-18 12:00:00,2001,2,18,NA,-4.63565674316193,5.29283127880818
2001-02-19 12:00:00,2001,2,19,NA,-7.37848755635703,0.769732219635836
2001-02-20 12:00:00,2001,2,20,NA,-1.11785667106644,2.01448448589612
2001-02-21 12:00:00,2001,2,21,NA,-2.36395001651092,4.5543226541505
2001-02-22 12:00:00,2001,2,22,NA,-2.97629556441297,5.28590081896844
2001-02-23 12:00:00,2001,2,23,NA,-0.0477310971797276,6.19567963269986
2001-02-24 12:00:00,2001,2,24,NA,2.08578204018427,6.218763621012
2001-02-25 12:00:00,2001,2,25,NA,2.24001703040716,7.46069703328471
2001-02-26 12:00:00,2001,2,26,NA,3.6565464792916,8.64904856788218
2001-02-27 12:00:00,2001,2,27,NA,1.97096593039472,8.99626597231472
2001-02-28 12:00:00,2001,2,28,NA,-5.72246112056383,-1.16115284411494
2001-03-01 12:00:00,2001,3,1,NA,-4.59844755912818,-0.446696573510425
2001-03-02 12:00:00,2001,3,2,NA,-8.290855418151,-1.95500134941352
2001-03-03 12:00:00,2001,3,3,NA,-2.86521805450572,3.96865624057444
2001-03-04 12:00:00,2001,3,4,NA,-1.73937685644045,4.58012809441863
2001-03-05 12:00:00,2001,3,5,NA,-6.4266259979773,1.83180232700157
2001-03-06 12:00:00,2001,3,6,NA,0.522889104265287,5.24131230109375
2001-03-07 12:00:00,2001,3,7,NA,2.17638975761772,5.75928404680343
2001-03-08 12:00:00,2001,3,8,NA,1.58243478107677,7.66151403544667
2001-03-09 12:00:00,2001,3,9,NA,0.883577595711069,8.0556125662124
2001-03-10 12:00:00,2001,3,10,NA,1.80322882010429,8.1238317960348
2001-03-11 12:00:00,2001,3,11,NA,3.95553539556949,12.6727237867376
2001-03-12 12:00:00,2001,3,12,NA,3.3931950076494,14.1840041072597
2001-03-13 12:00:00,2001,3,13,NA,0.35121267957657,11.163078917013
2001-03-14 12:00:00,2001,3,14,NA,2.18099612905675,8.58083138056652
2001-03-15 12:00:00,2001,3,15,NA,0.707786311146174,8.9903615986371
